,Employee_ID,Age,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,Gender,Generation,Managerial_Employee,Minority,Organization_Tenure_Months,Salary,Employment_Type,Employment_Type_2,High_Potential,TimeInPrevPositionMonth,Current Functional Area,Current Job Level,Current Career Path,Current Performance Rating,Current Region,Current Country,CurCountryLat,CurCountryLon,Promotion within last 3 years,Changed Position within last 2 years,Change in Performance Rating,FunctionalAreaChangeType,JobLevelChangeType,Flight_Risk,age_binned,tenure_binned,salary_binned,Previous Functional Area,Previous Job Level,Previous Career Path,Previous Performance Rating,PrevCountryLat,PrevCountryLon,Previous Region,Previous Functional Area_new,Previous Job Level_new,Previous Career Path_new,Previous Performance Rating_new,Previous Region_new
18501,13821,32,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Minority,11,85000,Full-Time,Regular,No,5,Support,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,4,1,5,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18246,14281,31,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,48,70000,Full-Time,Regular,No,6,Support,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,4,4,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
19111,17303,46,No,Unallocated,Unallocated,No,Female,Generation X,Non-Managerial,Non-Minority,204,70000,Full-Time,Regular,No,1,Sales,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,Yes,8,5,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18790,15423,40,Yes,Medium,High,Yes,Female,Generation X,Non-Managerial,Minority,2,70000,Full-Time,Regular,No,7,Marketing,3 - Senior,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,Yes,6,1,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18760,15710,40,No,Low,Medium,No,Female,Generation X,Non-Managerial,Non-Minority,180,70000,Full-Time,Regular,No,7,Sales,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,Yes,6,5,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18270,13173,26,No,Medium,High,No,Male,Generation Y,Non-Managerial,Non-Minority,36,50000,Part-Time,Regular,No,4,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,2,3,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18850,15114,41,No,Medium,Medium,No,Male,Generation X,Managerial,Non-Minority,48,120000,Full-Time,Regular,No,6,Sales,3 - Senior,Functional,2 - Partially Meets Expectations,EMEA,Russia,64.686314,97.745306,No,No,0 - Not available,No change,No change,Yes,7,4,6,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18061,14096,31,No,Medium,Low,Yes,Female,Generation Y,Non-Managerial,Minority,96,85000,Full-Time,Regular,No,5,Support,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,4,5,5,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18123,10287,32,Yes,Low,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,72,50000,Full-Time,Temporary,Yes,5,Support,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,4,4,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18654,14678,37,No,Low,Medium,No,Female,Generation Y,Non-Managerial,Minority,72,85000,Full-Time,Temporary,Yes,6,Support,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,6,4,5,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18195,12857,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Minority,48,40000,Full-Time,Regular,No,4,Sales,2 - Specialist,Functional,2 - Partially Meets Expectations,APJ,Japan,36.574844,139.239418,No,No,0 - Not available,No change,No change,Yes,2,4,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
19103,11514,46,Yes,Low,Medium,Yes,Male,Generation X,Non-Managerial,Non-Minority,172,70000,Full-Time,Regular,No,2,Sales,6 - Executive,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,Yes,8,5,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18598,15224,36,No,Low,Low,Yes,Female,Generation X,Non-Managerial,Non-Minority,48,85000,Full-Time,Regular,No,6,Marketing,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,0 - Not available,No change,No change,Yes,5,4,5,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18187,13029,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,48,50000,Full-Time,Regular,No,4,Service,2 - Specialist,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,2,4,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
19090,12845,46,Yes,Low,Medium,Yes,Male,Generation X,Non-Managerial,Non-Minority,60,70000,Full-Time,Temporary,No,4,Service,4 - Expert / Manager,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,8,4,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
3019,11520,20,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,9,65000,Full-Time,Regular,No,2,Sales,3 - Senior,Functional,2 - Partially Meets Expectations,EMEA,Russia,64.686314,97.745306,No,No,0 - Not available,No change,No change,Yes,1,1,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18639,14876,37,No,Low,Medium,No,Female,Generation Y,Managerial,Non-Minority,36,120000,Full-Time,Temporary,Yes,6,Marketing,1 - Associate,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,External Hire,External Hire,Yes,6,3,6,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18664,14596,37,No,Low,High,No,Male,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Temporary,No,6,Service,2 - Specialist,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,6,1,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
2979,11118,20,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,9,65000,Full-Time,Temporary,No,3,Sales,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,Australia,-24.776108999999998,134.755,No,No,0 - Not available,No change,No change,Yes,1,1,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18661,10432,37,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Minority,96,30000,Full-Time,Regular,No,6,R&D,1 - Associate,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,6,5,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18782,15578,40,Yes,Unallocated,Unallocated,Yes,Male,Generation X,Non-Managerial,Non-Minority,180,50000,Full-Time,Regular,No,7,R&D,2 - Specialist,Functional,3 - Meets Expectations,EMEA,Russia,64.686314,97.745306,Yes,No,0 - Not available,No change,No change,Yes,6,5,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18835,15276,40,No,Medium,Medium,No,Male,Generation X,Managerial,Non-Minority,48,120000,Full-Time,Regular,No,6,Service,2 - Specialist,Functional,0 - No performance Measurement,APJ,South Korea,37.5326,127.024612,No,No,0 - Not available,No change,No change,Yes,6,4,6,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18610,15037,36,No,Low,Medium,No,Male,Generation X,Non-Managerial,Non-Minority,196,50000,Full-Time,Regular,No,6,R&D,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,0 - Not available,No change,No change,Yes,5,5,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18669,14638,38,No,Medium,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,2,85000,Full-Time,Regular,No,6,Service,2 - Specialist,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,External Hire,External Hire,Yes,6,1,5,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18555,14548,31,No,Medium,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,2,85000,Full-Time,Temporary,No,6,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,External Hire,External Hire,Yes,4,1,5,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
1376,12304,20,No,Medium,High,No,Male,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Temporary,No,3,R&D,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,Yes,1,1,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
19082,14297,45,No,Unallocated,Unallocated,No,Female,Generation X,Non-Managerial,Non-Minority,204,70000,Full-Time,Regular,No,6,Service,4 - Expert / Manager,Functional,2 - Partially Meets Expectations,EMEA,Spain,40.002803,-4.003104,No,No,0 - Not available,No change,No change,Yes,8,5,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18751,15810,40,Yes,Unallocated,Unallocated,Yes,Female,Generation X,Non-Managerial,Non-Minority,2,85000,Full-Time,Temporary,No,7,Service,2 - Specialist,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,6,1,5,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18394,14503,31,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,34,70000,Full-Time,Regular,No,6,Support,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,4,3,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18603,15001,36,No,Medium,High,No,Female,Generation X,Managerial,Non-Minority,136,120000,Full-Time,Regular,No,6,R&D,2 - Specialist,Functional,4 - Exceeds Expectations,APJ,Australia,-24.776108999999998,134.755,No,No,0 - Not available,External Hire,External Hire,Yes,5,5,6,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
1390,10827,20,No,Low,Low,No,Male,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Temporary,No,3,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,Yes,1,1,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18179,13316,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Minority,48,40000,Full-Time,Regular,No,4,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,2,4,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18535,12179,27,No,Unallocated,Unallocated,No,Female,Generation Y,Non-Managerial,Minority,2,50000,Full-Time,Temporary,No,3,R&D,3 - Senior,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,External Hire,External Hire,Yes,3,1,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18352,13592,32,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,36,50000,Full-Time,Regular,No,5,Service,5 - Senior Expert / Senior Manager,Functional,3 - Meets Expectations,Americas,Brazil,-10.333333,-53.2,No,No,0 - Not available,No change,No change,Yes,4,3,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
2985,11172,20,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,24,65000,Full-Time,Temporary,No,3,Sales,4 - Expert / Manager,Functional,2 - Partially Meets Expectations,EMEA,Denmark,55.670249,10.333328,No,No,0 - Not available,No change,No change,Yes,1,3,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18190,13057,26,Yes,Medium,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,48,40000,Full-Time,Regular,Yes,4,Service,2 - Specialist,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,2,4,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
19084,13622,46,No,Unallocated,Unallocated,No,Female,Late Boomers,Non-Managerial,Non-Minority,2,70000,Full-Time,Regular,No,5,R&D,3 - Senior,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,8,1,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18284,12866,26,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,36,30000,Full-Time,Regular,No,4,Sales,4 - Expert / Manager,Project / Management,2 - Partially Meets Expectations,EMEA,France,46.603353999999996,1.888334,No,No,0 - Not available,External Hire,External Hire,Yes,2,3,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18518,13471,25,Yes,Medium,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Regular,No,5,Marketing,6 - Executive,Project / Management,0 - No performance Measurement,EMEA,Belgium,50.640735,4.6669599999999996,No,No,0 - Not available,External Hire,External Hire,Yes,2,1,2,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18248,14359,31,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,48,70000,Full-Time,Regular,No,5,Support,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,Yes,4,4,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18844,10529,40,No,Medium,Medium,No,Male,Generation X,Managerial,Non-Minority,48,120000,Full-Time,Temporary,No,6,R&D,2 - Specialist,Functional,0 - No performance Measurement,APJ,China,35.000074,104.999927,No,No,0 - Not available,No change,No change,Yes,6,4,6,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
3016,11498,20,Yes,High,High,Yes,Female,Generation Z,Non-Managerial,Non-Minority,9,65000,Full-Time,Regular,No,2,Support,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,0 - Not available,No change,No change,Yes,1,1,4,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
18812,15338,40,Yes,Low,Medium,Yes,Male,Generation X,Non-Managerial,Non-Minority,144,50000,Full-Time,Regular,No,7,F&A. HR. Administration,3 - Senior,Functional,2 - Partially Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,Yes,6,5,3,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,Fresher,0,6,0,5,3
177,29137,18,No,Medium,Medium,No,Male,Generation Z,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,2,Support,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,51.083420000000004,10.423447,EMEA,5,3,2,4,2
178,29138,18,No,Medium,Medium,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Functional,1 - Does Not Meet Expectations,EMEA,Germany,51.083420000000004,10.423447,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,2,Support,4 - Expert / Manager,Functional,4 - Exceeds Expectations,42.638426,12.674297,EMEA,5,3,1,3,2
179,28107,18,No,Medium,Medium,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,0,Marketing,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,No,3 - Decreasing,Cross-Functional Move,Same Level,Yes,1,1,2,Sales,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,39.78373,-100.445882,Americas,3,3,2,4,1
180,18819,21,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,52,Service,4 - Expert / Manager,Functional,4 - Exceeds Expectations,EMEA,Netherlands,52.237989,5.534607,No,No,3 - Decreasing,Intra-Functional Move,Same Level,Yes,1,1,2,Service,4 - Expert / Manager,Project / Management,5 - Consistently Exceeds Expectations,52.237989,5.534607,EMEA,4,3,2,4,2
181,18963,21,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,52,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,1,1,2,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,3,1,2,0
182,22086,22,No,Low,Low,No,Male,Generation Y,Non-Managerial,Non-Minority,5,30000,Full-Time,Temporary,No,33,R&D,4 - Expert / Manager,Project / Management,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,3 - Decreasing,Intra-Functional Move,Same Level,Yes,1,1,2,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,3,1,3,0
183,22944,23,Yes,High,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,Yes,26,R&D,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,2,1,2,R&D,3 - Senior,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,2,1,2,0
184,23730,23,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,18,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,2,1,2,R&D,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,22.351115,78.667743,APJ,2,3,2,3,0
185,23991,23,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,30000,Full-Time,Temporary,No,18,Sales,3 - Senior,Functional,4 - Exceeds Expectations,EMEA,UK,54.702355000000004,-3.276575,No,Yes,1 - Increasing,Intra-Functional Move,Same Level,Yes,2,1,2,Sales,3 - Senior,Functional,3 - Meets Expectations,54.702355000000004,-3.276575,EMEA,3,2,1,2,2
1021,29144,18,Yes,Unallocated,Unallocated,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,40000,Full-Time,Temporary,No,0,Sales,4 - Expert / Manager,Project / Management,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,No,Yes,2 - Constant,Cross-Functional Move,Same Level,Yes,1,1,2,Service,4 - Expert / Manager,Functional,3 - Meets Expectations,51.083420000000004,10.423447,EMEA,4,3,1,2,2
1022,17693,20,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Temporary,No,55,Marketing,2 - Specialist,Functional,0 - No performance Measurement,EMEA,UK,54.702355000000004,-3.276575,No,No,0 - Not available,Intra-Functional Move,Same Level,Yes,1,1,2,Marketing,2 - Specialist,Functional,3 - Meets Expectations,54.702355000000004,-3.276575,EMEA,1,1,1,2,2
1023,18104,21,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Temporary,No,55,Service,4 - Expert / Manager,Project / Management,3 - Meets Expectations,EMEA,Russia,64.686314,97.745306,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,1,3,2,Service,4 - Expert / Manager,Functional,3 - Meets Expectations,64.686314,97.745306,EMEA,4,3,1,2,2
1024,18106,21,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Temporary,No,55,R&D,3 - Senior,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,1,3,2,R&D,3 - Senior,Functional,3 - Meets Expectations,22.351115,78.667743,APJ,2,2,1,2,0
1025,18103,21,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,5,40000,Full-Time,Temporary,No,55,Sales,5 - Senior Expert / Senior Manager,Project / Management,5 - Consistently Exceeds Expectations,EMEA,Finland,63.246778000000006,25.920916000000002,No,Yes,1 - Increasing,Intra-Functional Move,Same Level,Yes,1,1,2,Sales,5 - Senior Expert / Senior Manager,Project / Management,4 - Exceeds Expectations,63.246778000000006,25.920916000000002,EMEA,3,4,2,3,2
1026,18548,21,Yes,Low,Low,Yes,Male,Generation Z,Non-Managerial,Non-Minority,2,40000,Full-Time,Temporary,No,53,Sales,4 - Expert / Manager,Functional,5 - Consistently Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,Yes,1 - Increasing,Intra-Functional Move,Same Level,Yes,1,1,2,Sales,4 - Expert / Manager,Functional,4 - Exceeds Expectations,39.78373,-100.445882,Americas,3,3,1,3,1
1027,19573,22,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Temporary,No,52,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,EMEA,Bulgaria,42.607397999999996,25.485661999999998,No,Yes,2 - Constant,Intra-Functional Move,Same Level,Yes,1,3,2,R&D,4 - Expert / Manager,Project / Management,4 - Exceeds Expectations,42.607397999999996,25.485661999999998,EMEA,2,3,2,3,2
