,Employee_ID,Age,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,Gender,Generation,Managerial_Employee,Minority,Organization_Tenure_Months,Salary,Employment_Type,Employment_Type_2,High_Potential,Previous Functional Area,Previous Job Level,Previous Career Path,Previous Performance Rating,Previous Country,PrevCountryLat,PrevCountryLon,Previous Region,TimeInPrevPositionMonth,Current Functional Area,Current Job Level,Current Career Path,Current Performance Rating,Current Region,Current Country,CurCountryLat,CurCountryLon,Promotion within last 3 years,Changed Position within last 2 years,Change in Performance Rating,FunctionalAreaChangeType,JobLevelChangeType,Flight_Risk
10,10044,46,Yes,Medium,High,Yes,Female,Generation X,Managerial,Non-Minority,1108,120000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,No,No,0 - Not available,No change,No change,No
11,10045,26,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,34,40000,Full-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
12,10046,26,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,11,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Mexico,19.432601000000002,-99.133342,No,No,0 - Not available,No change,No change,No
13,10047,26,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,External Hire,External Hire,No
14,10050,26,No,Low,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
15,10051,26,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,8,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Mexico,19.432601000000002,-99.133342,No,No,0 - Not available,External Hire,External Hire,No
16,10052,26,No,Medium,High,No,Female,Generation Y,Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
17,10053,26,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
18,10054,26,No,Low,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,34,40000,Full-Time,Regular,No,,,,,,,,,4,Service,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
19,10055,46,Yes,Low,Low,Yes,Female,Generation X,Non-Managerial,Minority,172,30000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,3 - Meets Expectations,EMEA,France,46.603353999999996,1.888334,No,No,0 - Not available,No change,No change,No
20,10057,26,No,Low,Medium,No,Male,Generation Y,Non-Managerial,Non-Minority,36,40000,Part-Time,Regular,No,,,,,,,,,4,Marketing,3 - Senior,Functional,4 - Exceeds Expectations,Americas,Colombia,2.889443,-73.78389200000001,No,No,0 - Not available,No change,No change,No
21,10059,26,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,120,40000,Full-Time,Regular,No,,,,,,,,,4,Marketing,1 - Associate,Functional,0 - No performance Measurement,Americas,Brazil,-10.333333,-53.2,No,No,0 - Not available,External Hire,External Hire,No
22,10060,26,Yes,Medium,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,15,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,1 - Associate,Functional,0 - No performance Measurement,Americas,Brazil,-10.333333,-53.2,No,No,0 - Not available,External Hire,External Hire,No
23,10061,26,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,22,40000,Part-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,No,No,0 - Not available,No change,No change,No
24,10062,26,Yes,Low,Low,Yes,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,4,Support,3 - Senior,Functional,3 - Meets Expectations,Americas,Mexico,19.432601000000002,-99.133342,No,No,0 - Not available,No change,No change,No
25,10063,26,Yes,Low,Low,Yes,Female,Generation Y,Non-Managerial,Non-Minority,5,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,No
26,10064,26,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,34,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,No
27,10065,26,No,Medium,High,No,Female,Generation Y,Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,0 - No performance Measurement,Americas,Mexico,19.432601000000002,-99.133342,No,No,0 - Not available,No change,No change,No
28,10066,46,Yes,Unallocated,Unallocated,Yes,Male,Generation X,Non-Managerial,Non-Minority,96,50000,Full-Time,Regular,No,,,,,,,,,4,Marketing,2 - Specialist,Functional,3 - Meets Expectations,EMEA,Sweden,59.674971,14.520857999999999,No,No,0 - Not available,No change,No change,No
29,10067,26,No,Low,High,No,Male,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Functional,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
30,10068,26,No,Unallocated,Unallocated,No,Female,Generation Y,Non-Managerial,Minority,36,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
31,10069,26,No,Unallocated,Unallocated,No,Female,Generation Y,Non-Managerial,Minority,36,50000,Full-Time,Regular,No,,,,,,,,,4,Service,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
32,10071,26,Yes,Low,Low,Yes,Female,Generation Y,Non-Managerial,Non-Minority,15,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
33,10072,26,Yes,High,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,5 - Senior Expert / Senior Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
34,10073,26,No,Low,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,No
35,10074,26,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,11,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
36,10075,26,Yes,Medium,High,Yes,Female,Generation Y,Non-Managerial,Non-Minority,8,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Project / Management,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
37,10076,26,No,Low,Medium,No,Male,Generation Y,Non-Managerial,Non-Minority,36,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,2 - Specialist,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,No
38,10077,46,Yes,Medium,Medium,Yes,Female,Generation X,Non-Managerial,Non-Minority,172,85000,Full-Time,Regular,No,,,,,,,,,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,No,No,0 - Not available,No change,No change,No
39,10078,26,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Part-Time,Regular,No,,,,,,,,,4,Marketing,2 - Specialist,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
40,10080,26,No,Medium,High,No,Male,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
41,10081,26,Yes,Low,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,34,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,2 - Specialist,Functional,1 - Does Not Meet Expectations,Americas,Mexico,19.432601000000002,-99.133342,No,No,0 - Not available,No change,No change,No
42,10082,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Minority,5,50000,Full-Time,Regular,No,,,,,,,,,4,Marketing,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
43,10083,26,Yes,High,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,22,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
44,10084,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,External Hire,External Hire,No
45,10085,26,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,2 - Partially Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
46,10086,26,No,Medium,Low,No,Male,Generation Y,Non-Managerial,Minority,2,85000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
47,10088,46,Yes,Unallocated,Unallocated,Yes,Male,Generation X,Non-Managerial,Non-Minority,96,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,2 - Specialist,Functional,3 - Meets Expectations,EMEA,UK,54.702355000000004,-3.276575,No,No,0 - Not available,No change,No change,No
48,10093,26,Yes,High,High,Yes,Male,Generation Y,Managerial,Non-Minority,108,120000,Full-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
49,10094,26,Yes,High,High,Yes,Female,Generation Y,Managerial,Non-Minority,108,120000,Full-Time,Regular,No,,,,,,,,,4,Marketing,5 - Senior Expert / Senior Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
50,10095,26,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,14,40000,Part-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,External Hire,External Hire,No
51,10096,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Minority,5,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,2 - Specialist,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,No,No,0 - Not available,No change,No change,No
52,10098,27,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,External Hire,External Hire,No
53,10099,46,Yes,Medium,High,Yes,Female,Generation X,Managerial,Non-Minority,252,120000,Full-Time,Regular,No,,,,,,,,,4,Service,5 - Senior Expert / Senior Manager,Project / Management,3 - Meets Expectations,EMEA,France,46.603353999999996,1.888334,No,No,0 - Not available,No change,No change,No
54,10100,27,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,15,40000,Part-Time,Regular,No,,,,,,,,,4,Sales,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,No,No,0 - Not available,No change,No change,No
55,10101,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,50000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,No
56,10102,26,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,36,40000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,No,No,0 - Not available,No change,No change,No
57,10103,26,Yes,High,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
58,10104,26,No,Medium,High,No,Female,Generation Y,Non-Managerial,Non-Minority,48,50000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,4 - Exceeds Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
59,10105,26,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,36,40000,Full-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
60,10106,46,Yes,Low,High,Yes,Female,Generation X,Non-Managerial,Non-Minority,1108,85000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,1 - Does Not Meet Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
63,10109,26,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,Sales,3 - Senior,Functional,3 - Meets Expectations,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
64,10110,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,40000,Full-Time,Regular,No,,,,,,,,,4,Support,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
65,10112,26,Yes,High,Low,Yes,Male,Generation Y,Non-Managerial,Non-Minority,24,40000,Part-Time,Regular,No,,,,,,,,,4,R&D,5 - Senior Expert / Senior Manager,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
66,10113,26,Yes,Medium,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,Support,6 - Executive,Project / Management,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
67,10114,26,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Non-Minority,36,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,0 - No performance Measurement,Americas,Canada,61.066692,-107.991707,Yes,No,0 - Not available,No change,No change,No
68,10115,26,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,20,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,2 - Specialist,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
69,10116,26,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Functional,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
70,10117,26,No,Medium,High,No,Male,Generation Y,Non-Managerial,Minority,36,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
71,10118,26,No,Low,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,15,70000,Full-Time,Regular,No,,,,,,,,,4,Service,5 - Senior Expert / Senior Manager,Functional,3 - Meets Expectations,Americas,Brazil,-10.333333,-53.2,Yes,No,0 - Not available,External Hire,External Hire,No
72,10119,46,No,Unallocated,Unallocated,No,Male,Generation X,Non-Managerial,Non-Minority,48,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,5 - Senior Expert / Senior Manager,Project / Management,1 - Does Not Meet Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
73,10120,26,Yes,Unallocated,Unallocated,Yes,Male,Generation Y,Non-Managerial,Non-Minority,11,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Project / Management,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
74,10121,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,48,40000,Part-Time,Regular,No,,,,,,,,,4,Marketing,3 - Senior,Functional,0 - No performance Measurement,APJ,Australia,-24.776108999999998,134.755,Yes,No,0 - Not available,External Hire,External Hire,No
75,10122,26,Yes,Medium,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,36,40000,Full-Time,Regular,No,,,,,,,,,4,R&D,3 - Senior,Functional,0 - No performance Measurement,APJ,India,22.351115,78.667743,Yes,No,0 - Not available,External Hire,External Hire,No
76,10123,26,No,Medium,Medium,No,Female,Generation Y,Non-Managerial,Non-Minority,15,120000,Full-Time,Regular,No,,,,,,,,,4,Support,2 - Specialist,Functional,0 - No performance Measurement,EMEA,Ireland,52.865196,-7.97946,Yes,No,0 - Not available,No change,No change,No
77,10124,26,Yes,Medium,High,Yes,Female,Generation Y,Managerial,Non-Minority,36,70000,Full-Time,Regular,No,,,,,,,,,4,Marketing,5 - Senior Expert / Senior Manager,Functional,0 - No performance Measurement,EMEA,Spain,40.002803,-4.003104,Yes,No,0 - Not available,No change,No change,No
78,10125,26,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,34,40000,Full-Time,Regular,No,,,,,,,,,4,Marketing,4 - Expert / Manager,Functional,3 - Meets Expectations,APJ,India,22.351115,78.667743,Yes,No,0 - Not available,No change,No change,No
79,10126,26,No,Low,High,No,Female,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Functional,0 - No performance Measurement,APJ,India,22.351115,78.667743,Yes,No,0 - Not available,No change,No change,No
80,10127,26,No,Low,Medium,No,Male,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,Marketing,2 - Specialist,Functional,0 - No performance Measurement,EMEA,Belgium,50.640735,4.6669599999999996,Yes,No,0 - Not available,No change,No change,No
81,10128,26,No,Low,High,No,Female,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,5 - Senior Expert / Senior Manager,Project / Management,4 - Exceeds Expectations,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
82,10129,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,48,40000,Full-Time,Regular,No,,,,,,,,,4,Marketing,3 - Senior,Functional,0 - No performance Measurement,Americas,Argentina,-34.996496,-64.967282,Yes,No,0 - Not available,External Hire,External Hire,No
83,10130,26,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,4,Support,4 - Expert / Manager,Project / Management,0 - No performance Measurement,Americas,USA,39.78373,-100.445882,Yes,No,0 - Not available,No change,No change,No
84,10131,46,Yes,Low,High,Yes,Male,Generation X,Non-Managerial,Non-Minority,108,50000,Full-Time,Regular,No,,,,,,,,,4,R&D,4 - Expert / Manager,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
109,10156,46,Yes,Low,High,Yes,Male,Late Boomers,Non-Managerial,Non-Minority,172,70000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
110,10157,26,Yes,Medium,High,Yes,Male,Generation Y,Non-Managerial,Non-Minority,34,50000,Full-Time,Regular,Yes,,,,,,,,,4,Service,3 - Senior,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,External Hire,External Hire,No
111,10158,26,Yes,Low,Low,Yes,Female,Generation Y,Non-Managerial,Non-Minority,24,40000,Full-Time,Regular,No,,,,,,,,,4,Service,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
112,10159,26,Yes,Low,Low,Yes,Female,Generation Y,Non-Managerial,Non-Minority,48,40000,Full-Time,Regular,Yes,,,,,,,,,4,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,External Hire,External Hire,No
113,10160,26,No,Medium,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,2,50000,Full-Time,Regular,No,,,,,,,,,4,Service,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
114,10161,26,Yes,Low,Medium,Yes,Male,Generation Y,Non-Managerial,Non-Minority,48,50000,Full-Time,Regular,Yes,,,,,,,,,4,Support,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
115,10162,26,No,Medium,Medium,No,Male,Generation Y,Non-Managerial,Non-Minority,48,50000,Full-Time,Regular,No,,,,,,,,,4,Support,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
116,10163,26,Yes,Low,Medium,Yes,Female,Generation Y,Non-Managerial,Non-Minority,60,50000,Full-Time,Regular,No,,,,,,,,,4,Support,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
117,10164,26,No,Unallocated,Unallocated,Yes,Female,Generation Y,Managerial,Non-Minority,36,50000,Full-Time,Regular,Yes,,,,,,,,,4,Support,3 - Senior,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
118,10165,26,Yes,Unallocated,Unallocated,Yes,Female,Generation Y,Non-Managerial,Minority,24,40000,Full-Time,Regular,No,,,,,,,,,4,Support,4 - Expert / Manager,Functional,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
119,10166,26,No,Medium,Medium,Yes,Male,Generation Y,Managerial,Non-Minority,36,70000,Full-Time,Regular,No,,,,,,,,,4,Service,2 - Specialist,Functional,3 - Meets Expectations,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
120,10167,46,Yes,Low,Low,Yes,Female,Late Boomers,Non-Managerial,Non-Minority,132,85000,Full-Time,Regular,Yes,,,,,,,,,4,Support,5 - Senior Expert / Senior Manager,Project / Management,0 - No performance Measurement,EMEA,Germany,51.083420000000004,10.423447,Yes,No,0 - Not available,No change,No change,No
